,0
448,23813.968412686405
449,34972.197767000245
450,36185.33239522906
451,29084.646342477346
452,47957.05723461142
453,36185.33239522906
454,35992.03417054666
455,31900.721817100304
456,53254.5657164927
457,39708.97176541749
458,23900.811479960128
459,62442.63654665627
460,30806.517135899725
461,30447.95939874353
462,31763.438478708595
463,30701.868852930922
464,36185.33239522906
465,31900.721817100304
466,30806.517135899725
467,35438.91467769039
468,48346.292036082465
469,27056.7433003793
470,29084.646342477346
471,36185.33239522906
472,29091.835720583003
473,35438.91467769039
474,27262.619997857364
475,36638.20271002823
476,36185.33239522906
477,30701.868852930922
478,48346.292036082465
479,41630.43192649859
480,31900.721817100304
481,42394.48257067943
482,64763.67191247687
483,54004.216086136934
484,45484.19170181054
485,47957.05723461142
486,36075.78021924242
487,36279.88041069387
488,35438.91467769039
489,22569.812180539124
490,46991.60680318131
491,36279.88041069387
492,42491.65073218858
493,27357.168013322174
494,36686.56269029343
495,27056.7433003793
496,35639.33922725337
497,29262.904029461508
498,22246.87403845773
499,27208.70662030877
500,45999.81929353015
501,36744.264946484305
502,34874.62909558946
503,42491.65073218858
504,40361.74765705106
505,31995.269832565118
506,41630.43192649859
507,36185.33239522906
508,30701.868852930922
509,53989.085238391635
510,48346.292036082465
511,46952.99886157753
512,36185.33239522906
513,34520.1473891878
514,36185.33239522906
515,29192.35053248427
516,42394.48257067943
517,45484.19170181054
518,42394.48257067943
519,47957.05723461142
520,36185.33239522906
521,31863.95329060987
522,22774.444488587305
523,45969.94424033438
524,35482.67120932658
525,35831.32952832856
526,36318.97666058294
527,36261.121803382295
528,27679.781812454275
529,27679.781812454275
530,45538.25839997339
531,31608.840056694746
532,35670.912318531446
533,35438.91467769039
534,54795.30385949707
535,35983.89248417946
536,35489.67220978188
537,35541.54246331075
538,28889.760105740723
539,65229.821039020535
540,34905.741774699796
541,65229.821039020535
542,48446.07023584238
543,54794.10508037958
544,39557.43920441242
545,28975.539827009892
546,29291.819351171413
547,31509.52902452121
548,23658.1959878845
549,48134.758329777746
550,27538.614663490924
551,35670.912318531446
552,27167.512893087736
553,71465.98908217128
554,35937.49949024992
555,27634.27430216087
556,35646.01594892496
557,82315.89582092963
558,35766.57195720139
559,35646.01594892496
560,35634.757271694005
561,53592.30646325232
562,54018.259149320584
563,42063.165312135694
564,28837.92626639561
565,35670.912318531446
566,23637.22650196404
567,35670.912318531446
568,57762.06835040803
569,35670.912318531446
570,54770.22243641266
571,65255.16815271179
572,63991.45174795273
573,36028.84713759168
574,28878.97043662078
575,36017.65232937785
576,48246.52909939328
577,27322.48991501816
578,53552.46697532176
579,36064.71878248843
580,46131.920454174564
581,23693.677829971664
582,39569.48821129184
583,36062.254365124085
584,23702.175287896356
585,48059.617021671445
586,53663.03860679004
587,47386.74385546123
588,34862.843692429575
589,53668.16789222074
590,30716.526074659687
591,60936.79332424626
592,31550.57319474638
593,35853.93071104711
594,27080.42401060439
595,35645.58277615556
596,31923.83080849281
597,30573.915588402553
598,41507.43274978922
599,39458.71559247951
600,53669.093089200556
601,31923.904407734328
602,35637.94018088266
603,42165.58353761442
604,53577.548398406165
605,45895.93749253978
606,23835.275975610413
607,23188.93198493038
608,42583.77591565722
609,35594.127233959276
610,48175.270949645535
611,28901.207877301105
612,27291.13417078493
613,36028.84713759168
614,47754.43396487845
615,41630.43192649859
616,35766.57195720139
617,46101.93879603314
618,76958.39484792094
619,54594.795246215275
620,48730.79355062051
621,36328.95256424295
622,57905.64828219633
623,35859.069252745154
624,55032.958517290084
625,31518.14654275358
626,36109.04637236849
627,55126.77862536149
628,42283.74007391765
629,60042.089158362825
630,39592.49033655591
631,23706.63267160105
632,35842.73520766194
633,70346.49301494122
634,61847.10018414927
635,35837.6606344874
636,41630.43192649859
637,23666.962126299397
638,53415.73097505545
639,60361.65891440348
640,35411.75687880553
641,36109.04637236849
642,42641.75841893885
643,36109.04637236849
644,28989.689703021133
645,42144.126147213436
646,42276.58293363192
647,57467.48501112151
648,35599.97270761163
649,42641.75841893885
650,28837.92626639561
651,36109.04637236849
652,31661.29246114673
653,29513.886145085555
654,23739.472986647652
655,53289.54843857493
656,36109.04637236849
657,48748.196320617266
658,27679.781812454275
659,23813.968412686405
660,35008.264330982915
661,28941.71114013632
662,59761.82726033029
663,48664.336259987875
664,23672.91573387812
665,28948.4959758001
666,35494.99141059835
667,54960.674393248686
668,29295.326817828856
669,31620.098733925697
670,65465.09060788904
671,65161.81720158179
672,32078.767237028915
673,32050.108331362273
674,29295.326817828856
675,65255.16815271179
676,35995.15116141041
677,32172.118188158915
678,34762.99858716312
679,42158.82495080564
680,48170.667670424846
681,32144.655493612838
682,34893.5812985636
683,31083.08586783515
684,29137.581747216092
685,57387.6574749877
686,34981.97215219589
687,54032.49079611246
688,22668.31165381661
689,31509.52902452121
690,45698.24954280921
691,27160.72805742396
692,35481.15918737771
693,54844.53206894132
694,31629.603143102755
695,45645.076838309236
696,31613.31389826192
697,35676.05463380423
698,34520.1473891878
699,27506.944531008652
700,46116.17044282502
701,48563.66362393624
702,45726.83273980216
703,35417.86657967299
704,54960.674393248686
705,29091.835720583003
706,48346.292036082465
707,36185.33239522906
708,41742.221862678634
709,31900.721817100304
710,36185.33239522906
711,41742.221862678634
712,36185.33239522906
713,58827.69678415469
714,54004.216086136934
715,35720.91522064637
716,35736.78151286375
717,58827.69678415469
718,45940.3724221477
719,36185.33239522906
720,70513.14766446977
721,36185.33239522906
722,58827.69678415469
723,35075.63241709309
724,48346.292036082465
725,35075.63241709309
726,35736.78151286375
727,31900.721817100304
728,31900.721817100304
729,45940.3724221477
730,32434.849436368142
731,37466.2395598206
732,54724.78233259093
733,24877.2912450785
734,36951.819483122985
735,58869.57116748845
736,30311.123467411027
737,36911.007335273454
738,43035.6120239127
739,33137.97664525471
740,55453.84953122267
741,46805.81457695213
742,58869.57116748845
743,32863.03666739799
744,37466.2395598206
745,35775.97638053083
746,36827.231354134274
747,40850.82936564648
748,37264.79964877099
749,37334.849424117
750,36781.788649714246
751,37374.46325044103
752,37345.62594707997
753,28490.08187777009
754,61118.42496465001
755,48089.701264570765
756,37368.78496384386
757,30174.97310073377
758,36667.5828752298
759,55702.737949741386
760,32874.29534462895
761,41002.36192665155
762,36357.99517645876
763,66586.41874334024
764,54810.78738759337
765,33551.62343198277
766,43195.335099489945
767,37276.05832600195
768,48923.11100637962
769,47520.02815803792
770,36922.26601250441
771,37466.2395598206
772,25027.499387778218
773,30438.65440135955
774,36922.26601250441
775,56230.89424139915
776,30604.14297856935
777,36817.7925268902
778,28335.104855839665
779,41671.89249930711
780,23607.80619731234
781,47369.49497301187
782,33154.918427803554
783,36815.2700380855
784,37484.30210296641
785,32489.953549211175
786,49713.62641282112
787,62920.03897744419
788,36951.819483122985
789,37389.95353696003
790,55013.13878030825
791,37465.720698736295
792,25160.702967016194
793,47207.92859912644
794,36914.19024446211
795,40946.63542432229
796,30105.44756155445
797,37389.95353696003
798,36254.56052636592
799,54988.05735722385
800,43356.55547336976
801,66000.90980472052
802,32060.713746602978
803,37285.0389151481
804,32804.76980544962
805,24942.24003101082
806,43035.6120239127
807,36882.33546697731
808,48946.001365584394
809,37466.2395598206
810,37389.95353696003
811,56205.81281831475
